temporal,date,id,mean_lst,distance,direction,area,use,temp_id,date_id,gradient_id,buffer_id,delta_T,delta_T_base,mean_lst_base
day,2022-12-03,198,35.67363114,16,105,810.874048291,prediction,1,1,1_1_105,1_105_16,-0.6629174000000049,-0.3424076199999959,32.63624776
day,2022-12-03,207,36.52179265,17,105,864.082555014,prediction,1,1,1_1_105,1_105_17,0.8481615100000042,1.156960649999995,33.79320841
day,2022-12-03,219,36.56359984,18,105,915.597310755,prediction,1,1,1_1_105,1_105_18,0.041807190000000105,0.11945067999999992,33.91265909
day,2022-12-03,229,36.57014008,19,105,967.909398761,prediction,1,1,1_1_105,1_105_19,0.006540239999999642,0.1020138700000004,34.01467296
day,2022-12-03,240,36.63685323,20,105,1020.22073198,prediction,1,1,1_1_105,1_105_20,0.06671314999999822,0.02654048000000131,34.04121344
day,2022-12-03,256,36.73007497,21,105,1074.11172432,prediction,1,1,1_1_105,1_105_21,0.09322173999999706,0.04221108000000129,34.08342452
day,2022-12-03,262,36.72655605,22,105,1124.99505457,prediction,1,1,1_1_105,1_105_22,-0.0035189199999976495,0.07399321999999842,34.15741774
day,2022-12-03,273,36.69322871,23,105,1177.31112423,prediction,1,1,1_1_105,1_105_23,-0.033327339999999595,-0.01928268999999716,34.13813505
day,2022-12-03,284,36.55310528,24,105,1229.62646731,prediction,1,1,1_1_105,1_105_24,-0.1401234300000027,-0.06605032000000222,34.07208473
day,2022-12-03,295,35.7610512,25,105,1281.94101005,prediction,1,1,1_1_105,1_105_25,-0.7920540799999998,-0.8057599999999994,33.26632473
day,2022-12-03,306,36.77065346,26,105,1335.94636579,prediction,1,1,1_1_105,1_105_26,1.0096022600000012,0.9260903200000001,34.19241505
day,2022-12-03,317,36.82076994,27,105,1386.70041475,prediction,1,1,1_1_105,1_105_27,0.0501164799999998,0.44912100999999893,34.64153606
day,2022-12-03,328,36.51529267,28,105,1439.01773273,prediction,1,1,1_1_105,1_105_28,-0.30547726999999725,0.40164911000000103,35.04318517
day,2022-12-03,339,36.82769991,29,105,1491.33427335,prediction,1,1,1_1_105,1_105_29,0.31240723999999886,0.2794751799999986,35.32266035
day,2022-12-03,37,38.39194645,1,135,26.149317842,prediction,1,1,1_1_135,1_135_1,1.212876449999996,0.635875850000005,35.44913085
day,2022-12-03,50,38.96958375,2,135,78.5072596515,prediction,1,1,1_1_135,1_135_2,0.5776372999999992,0.29320539999999795,35.74233625
day,2022-12-03,55,38.81437048,3,135,130.866816893,prediction,1,1,1_1_135,1_135_3,-0.1552132699999973,-0.303344629999998,35.43899162
day,2022-12-03,68,38.74385824,4,135,183.246181946,prediction,1,1,1_1_135,1_135_4,-0.07051223999999934,-0.03409729000000539,35.40489433
day,2022-12-03,80,38.67972731,5,135,235.591466007,prediction,1,1,1_1_135,1_135_5,-0.06413093000000458,0.03437848000000088,35.43927281
day,2022-12-03,90,38.38764561,6,135,287.954804033,prediction,1,1,1_1_135,1_135_6,-0.2920816999999971,-0.3906433000000007,35.04862951
day,2022-12-03,100,37.77471089,7,135,340.275296586,prediction,1,1,1_1_135,1_135_7,-0.6129347199999984,-0.6781065799999979,34.37052293
day,2022-12-03,112,38.33140728,8,135,392.683283752,prediction,1,1,1_1_135,1_135_8,0.556696389999999,0.5001717199999973,34.87069465
day,2022-12-03,123,38.63857105,9,135,445.047630348,prediction,1,1,1_1_135,1_135_9,0.3071637700000025,0.06347240000000198,34.93416705
day,2022-12-03,133,38.58099607,10,135,497.348469066,prediction,1,1,1_1_135,1_135_10,-0.05757498000000538,-0.14322488999999905,34.79094216
day,2022-12-03,144,37.47371697,11,135,546.989476845,prediction,1,1,1_1_135,1_135_11,-1.1072790999999995,-1.17427962,33.61666254
day,2022-12-03,155,36.55982806,12,135,601.531126669,prediction,1,1,1_1_135,1_135_12,-0.9138889099999972,-0.8328789299999997,32.78378361
day,2022-12-03,166,37.47217907,13,135,653.834129524,prediction,1,1,1_1_135,1_135_13,0.9123510100000018,1.2243934799999963,34.00817709
day,2022-12-03,176,37.4018531,14,135,706.99344984,prediction,1,1,1_1_135,1_135_14,-0.07032597000000607,-0.07872078999999843,33.9294563
day,2022-12-03,187,37.4211479,15,135,758.56495277,prediction,1,1,1_1_135,1_135_15,0.019294800000004386,-0.08783984000000089,33.84161646
day,2022-12-03,199,37.47225181,16,135,810.874751296,prediction,1,1,1_1_135,1_135_16,0.05110391000000192,0.0038034800000019686,33.84541994
day,2022-12-03,214,37.71530687,17,135,864.502557439,prediction,1,1,1_1_135,1_135_17,0.2430550599999961,0.33233199000000013,34.17775193
day,2022-12-03,222,37.7562878,18,135,915.652165759,prediction,1,1,1_1_135,1_135_18,0.04098093000000347,0.09787619000000092,34.27562812
day,2022-12-03,233,37.53331684,19,135,967.96920464,prediction,1,1,1_1_135,1_135_19,-0.22297096000000494,-0.2285711099999972,34.04705701
day,2022-12-03,244,37.5995114,20,135,1020.28562,prediction,1,1,1_1_135,1_135_20,0.06619455999999957,0.13198203999999691,34.17903905
day,2022-12-03,252,37.44118931,21,135,1073.76805203,prediction,1,1,1_1_135,1_135_21,-0.15832208999999864,-0.03143136999999996,34.14760768
day,2022-12-03,265,37.42105984,22,135,1125.03033604,prediction,1,1,1_1_135,1_135_22,-0.020129470000000538,0.14842493999999817,34.29603262
day,2022-12-03,276,37.58568488,23,135,1177.35018859,prediction,1,1,1_1_135,1_135_23,0.16462504000000422,0.345865400000001,34.64189802
day,2022-12-03,286,37.33748077,24,135,1229.6694143,prediction,1,1,1_1_135,1_135_24,-0.2482041100000032,-0.059002380000002574,34.58289564
day,2022-12-03,297,37.38743077,25,135,1281.98801862,prediction,1,1,1_1_135,1_135_25,0.0499500000000026,0.16341744000000347,34.74631308
day,2022-12-03,308,37.12783404,26,135,1336.053695,prediction,1,1,1_1_135,1_135_26,-0.2595967299999984,-0.16425316000000123,34.58205992
day,2022-12-03,319,37.14090411,27,135,1386.76048224,prediction,1,1,1_1_135,1_135_27,0.013070069999997713,0.2814787900000013,34.86353871
day,2022-12-03,330,37.16266539,28,135,1439.08243693,prediction,1,1,1_1_135,1_135_28,0.021761279999999772,0.31269095999999763,35.17622967
day,2022-12-03,341,37.37998485,29,135,1491.40380652,prediction,1,1,1_1_135,1_135_29,0.2173194599999988,0.45590788999999887,35.63213756
day,2022-12-03,352,37.06337088,30,135,1543.72456742,prediction,1,1,1_1_135,1_135_30,-0.3166139699999988,-0.3212448699999939,35.31089269
day,2022-12-03,1,39.07741871,1,165,26.1588683337,prediction,1,1,1_1_165,1_165_1,1.8983487100000005,1.369037089999999,36.18229209
day,2022-12-03,2,38.71925226,2,165,78.5320887888,prediction,1,1,1_1_165,1_165_2,-0.3581664500000059,-0.43583057000000025,35.74646152
day,2022-12-03,3,38.77987792,3,165,130.916650141,prediction,1,1,1_1_165,1_165_3,0.06062565999999947,-0.07392729999999403,35.67253422
day,2022-12-03,4,38.70962078,4,165,183.310421724,prediction,1,1,1_1_165,1_165_4,-0.07025713999999539,0.05483876999999637,35.72737299
day,2022-12-03,5,38.62235978,5,165,235.675126489,prediction,1,1,1_1_165,1_165_5,-0.08726100000000514,0.009118409999999244,35.7364914
day,2022-12-03,6,37.8068798,6,165,288.059716914,prediction,1,1,1_1_165,1_165_6,-0.8154799799999992,-0.6911961799999986,35.04529522
day,2022-12-03,7,38.62655078,7,165,340.40027276,prediction,1,1,1_1_165,1_165_7,0.819670980000005,1.084708929999998,36.13000415
day,2022-12-03,8,39.40235284,8,165,392.825928488,prediction,1,1,1_1_165,1_165_8,0.7758020599999966,0.742452870000001,36.87245702
day,2022-12-03,9,35.79078569,9,165,445.20954897,prediction,1,1,1_1_165,1_165_9,-3.611567149999999,-3.932607570000002,32.93984945
day,2022-12-03,10,36.86081185,10,165,497.534870608,prediction,1,1,1_1_165,1_165_10,1.0700261599999976,1.9482557500000013,34.8881052
day,2022-12-03,11,37.65653482,11,165,547.152727294,prediction,1,1,1_1_165,1_165_11,0.7957229699999999,0.8780108200000001,35.76611602
day,2022-12-03,12,32.0242504,12,165,601.752722326,prediction,1,1,1_1_165,1_165_12,-5.632284419999998,-4.924564259999997,30.84155176
day,2022-12-03,13,27.19950928,13,165,654.077375696,prediction,1,1,1_1_165,1_165_13,-4.824741119999999,-4.407940830000001,26.43361093
day,2022-12-03,14,26.53714675,14,165,707.437718627,prediction,1,1,1_1_165,1_165_14,-0.6623625299999993,-0.36849836000000025,26.06511257
day,2022-12-03,15,25.07572821,15,165,758.879133405,prediction,1,1,1_1_165,1_165_15,-1.4614185400000004,-1.213546130000001,24.85156644
day,2022-12-03,16,24.83486627,16,165,811.213544416,prediction,1,1,1_1_165,1_165_16,-0.24086194000000205,-0.2926265199999989,24.55893992
day,2022-12-03,217,25.06830493,17,165,864.593146426,prediction,1,1,1_1_165,1_165_17,0.2334386600000009,0.15233295999999896,24.71127288
day,2022-12-03,18,24.60467771,18,165,916.008171598,prediction,1,1,1_1_165,1_165_18,-0.46362721999999934,-0.4201615200000006,24.29111136
day,2022-12-03,19,24.92047399,19,165,968.348947967,prediction,1,1,1_1_165,1_165_19,0.3157962800000007,0.23324454000000117,24.5243559
day,2022-12-03,20,25.71808449,20,165,1020.68951414,prediction,1,1,1_1_165,1_165_20,0.7976104999999976,0.7407511299999996,25.26510703
day,2022-12-03,21,28.75271853,21,165,1074.54249828,prediction,1,1,1_1_165,1_165_21,3.0346340400000003,2.532193509999999,27.79730054
day,2022-12-03,22,35.51719514,22,165,1125.51728983,prediction,1,1,1_1_165,1_165_22,6.764476609999999,5.600163750000004,33.39746429
day,2022-12-03,23,37.25374329,23,165,1177.86387697,prediction,1,1,1_1_165,1_165_23,1.7365481500000044,1.5734407399999952,34.97090503
day,2022-12-03,24,37.34248085,24,165,1230.21017942,prediction,1,1,1_1_165,1_165_24,0.08873755999999844,0.048605780000002596,35.01951081
day,2022-12-03,32,38.42419356,1,195,26.1484865544,prediction,1,1,1_1_195,1_195_1,1.2451235599999961,0.7747576300000034,35.58801263
day,2022-12-03,43,38.73073306,2,195,78.5016954405,prediction,1,1,1_1_195,1_195_2,0.3065394999999995,0.44124150999999756,36.02925414
day,2022-12-03,54,37.69340393,3,195,130.865764168,prediction,1,1,1_1_195,1_195_3,-1.0373291299999963,-1.098421209999998,34.93083293
day,2022-12-03,65,38.02277469,4,195,183.241181439,prediction,1,1,1_1_195,1_195_4,0.3293707599999962,0.848812719999998,35.77964565
day,2022-12-03,76,37.51458242,5,195,235.586306566,prediction,1,1,1_1_195,1_195_5,-0.508192269999995,-0.40651470000000245,35.37313095
day,2022-12-03,88,38.47824488,6,195,287.953574821,prediction,1,1,1_1_195,1_195_6,0.9636624599999948,1.0676655200000056,36.44079647
day,2022-12-03,101,38.94697907,7,195,340.276063867,prediction,1,1,1_1_195,1_195_7,0.4687341899999993,0.14356946999999565,36.58436594
day,2022-12-03,113,38.41508377,8,195,392.683423375,prediction,1,1,1_1_195,1_195_8,-0.5318952999999951,-0.17887707999999947,36.40548886
day,2022-12-03,124,38.10540377,9,195,445.05299325,prediction,1,1,1_1_195,1_195_9,-0.3096800000000002,0.3020263300000039,36.70751519
day,2022-12-03,135,37.11088944,10,195,497.360915159,prediction,1,1,1_1_195,1_195_10,-0.9945143300000012,-0.6493633400000007,36.05815185
